skn,name,lat,lng,island
898,Pupukea 1,21.63682205,-158.0022481,OA
897.9,PupukeaRdRainGageatalt,21.59902778,-158.0169167,OA
897.11,KamananuiRainGageatalt,21.62238889,-158.0143056,OA
897.1,KamananuiRaingagenrMaunawai,21.62044167,-158.015025,OA
897,Waimea Mauka,21.61349052,-158.0289153,OA
896.8,Pupukea,21.64515565,-158.0308588,OA
896.7,Kanalani-Pupukea,21.64293373,-158.0364145,OA
896.4,PUPUKEA HEIGHTS,21.64278,-158.03722,OA
896.3,WAIALEE 896.3,21.68709671,-158.0222465,OA
896.2,Paumalu Camp,21.66765423,-158.0328026,OA
896.1,Pupukea,21.64348945,-158.050581,OA
896,PUPUKEA,21.64515601,-158.0422477,OA
895,Waimea-H Pine,21.6129356,-158.0539152,OA
894.2,Kawailoa 20 Mak,21.59265808,-158.0305824,OA
894.1,Kawailoa Forest,21.58682535,-158.0505823,OA
894,Kawailoa 19,21.59321398,-158.0555821,OA
893,Kawailoa 15,21.60849129,-158.0572485,OA
892.3,Kalahee Ridge 0551,21.63252,-158.04065,OA
892.2,WAIMEA ARBORETUM 892.2,21.638859,-158.058759,OA
892.1,KAWAILOA,21.62987897,-158.0719699,OA
892,WAIMEA 892,21.62515733,-158.0589148,OA
891,Kawailoa 8,21.610158,-158.0705815,OA
890,Kawailoa 4,21.606825,-158.0855815,OA
889,Anahulu River,21.586548,-158.0822487,OA
888.1,Opaeula,21.5834924,-158.0739154,OA
888,Opaeula 3,21.58349267,-158.0872488,OA
887,Opaeula 2,21.58515949,-158.0972488,OA
886.9,KUALOA RANCH HEADQUATERTERS 886.9,21.5213,-157.8374,OA
886.8,Hakipuu Mauka,21.5067005,-157.8547,OA
886.7,Waiahole Stream,21.47182752,-157.8705858,OA
886.6,WaikaneRaingageatalt,21.49684167,-157.86225,OA
886.5,Kualoa 886.5,21.517,-157.85,OA
886.4,KahanaRainGageatalt,21.54041667,-157.8825556,OA
886.3,Kualoa,21.5201567,-157.837252,OA
886.2,Kaaawa,21.53848826,-157.8422515,OA
886.12,Kaaawa Makai 0541,21.540352,-157.845041,OA
886.11,"KUALOA RANCH HAKIPUU 886.11, HI US",21.51083,-157.86222,OA
886.1,Waikane - Hakipuu Mauka,21.5084922,-157.8555853,OA
886,Kahana 27,21.52016048,-157.9072514,OA
885.7,OAHU FOREST NWR,21.47747,-157.9369,OA
885.6,KUALOA RANCH 885.6,21.53,-157.85028,OA
885.5,Kaaawa-HSPA,21.52821311,-157.8553073,OA
885.4,Waianae Uka 3,21.50682748,-157.9022517,OA
885.3,Waianae Uka 2,21.5068276,-157.9072517,OA
885.2,Waipio,21.47682837,-157.9005856,OA
885.1,Kaaawa Mauka,21.52515802,-157.8572517,OA
885,WAIKANE 885,21.50016055,-157.8872519,OA
884.4,PunaluuRainGageatalt,21.55644444,-157.899,OA
884.3,Punaluu #1,21.53599288,-157.9014178,OA
884.2,Punaluu Str #2,21.55876931,-157.8989174,OA
884.1,Punaluu Valley,21.5584917,-157.9039174,OA
884,Punaluu,21.576406,-157.89083,OA
883.9,Opaeula,21.54515957,-157.9189176,OA
883.8,Kahana,21.55515688,-157.8789176,OA
883.5,Lower Marsh,21.53293799,-157.9208623,OA
883.4,Upper Marsh,21.5301603,-157.9194734,OA
883.3,Malaekahana,21.59682348,-157.958916,OA
883.2,Kaipapau,21.5818243,-157.9422499,OA
883.12,"PoamohoRainGageNo1,nrWaawa",21.53386111,-157.9213889,OA
883.11,Opaeula 2,21.55849224,-157.9239173,OA
883.1,Marsh,21.53182696,-157.9222512,OA
883,KAHANA 883,21.51154946,-157.8986405,OA
882.5,Poamoho Stream,21.5313,-157.93544,OA
882.4,PoamohoRainGageNo.2nrWaawa,21.53341667,-157.9366944,OA
882.3,Poamoho #3,21.5315495,-157.950029,OA
882.2,Wahiawa Wci,21.53016066,-157.9472512,OA
882.1,N Fork,21.5134947,-157.9455849,OA
882,WAHIAWA MAUKA INT 88,21.5134947,-157.9455849,OA
881.3,Opaeula 1,21.55377063,-157.9622506,OA
881,HELEMANO INTAKE 881,21.53849387,-157.9911398,OA
880.2,Kawai Iki Intake 880.2,21.567,-157.983,OA
880.1,Canon Dam,21.49849524,-157.9439186,OA
880,KAWAI IKI INAKE 880,21.56849214,-157.9872501,OA
878,Last Tunnel Out,21.51627262,-157.9772515,OA
877.6,Pri Helemano,21.54349366,-158.0055841,OA
877.5,Helemano Mauka,21.54349361,-157.9989175,OA
877.4,Helemano,21.51349512,-157.9972515,OA
877.3,Kaukonahua Fld,21.51349512,-157.9972515,OA
877.1,Wahiawa-Navy,21.51682834,-158.0050291,OA
877,Kamananui Intake,21.5801583,-158.0039164,OA
876,Waialua Mauka,21.548073,-158.011695,OA
875.3,Helemano Fld,21.54682688,-158.0139173,OA
875.2,Helemano Fld 24B,21.53516069,-157.9955844,OA
875.1,Kaukonahua Mauka,21.53293861,-158.0005844,OA
875,Helemano,21.5334942,-158.0105842,OA
874.5,Kemoo-Pri,21.5051625,-158.0328067,OA
874.4,Pri-Eames,21.50849544,-158.0072514,OA
874.3,UPPER WAHIAWA 874.3,21.50849545,-158.0089181,OA
874.1,Wahiawa Bot Gar,21.50182919,-158.0166957,OA
874,Wahiawa Office,21.50016268,-158.0239179,OA
873.1,Whitmore,21.50849554,-158.0205845,OA
873,Kaukonahua(1000),21.51682841,-158.0166955,OA
872,WAHIAWA,21.50182927,-158.0255845,OA
871,Helemano Reserv,21.52682805,-158.0289175,OA
870,OPAEULA 870,21.5698814,-158.0278054,OA
869,KAWAILOA TRAINING AREA,21.58722222,-158.0130556,OA
868,Opaeula 26 Bot,21.57738113,-158.0350273,OA
867.7,Fld 4707 (Dole),21.56515952,-158.0350277,OA
867.6,Helemano 23 #2,21.56182617,-158.0219723,OA
867.4,Helemano 23 #4,21.55904833,-158.0005837,OA
867.3,Helemano 23 #3,21.56099276,-158.0091946,OA
867.2,Opaeula 26,21.56849241,-158.01475,OA
867.1,Pri Opaeula,21.56849235,-158.0089167,OA
867,Waialua Camp,21.56654833,-158.0347498,OA
866,Brodie 2,21.52516165,-158.0389174,OA
865.2,Dm Field 204,21.50988437,-158.0214178,OA
865.1,Helemano,21.51682852,-158.027251,OA
865,Poamoho,21.51627326,-158.0439175,OA
864,Opaeula,21.57515912,-158.0422495,OA
863.1,Area BB,21.48850378,-158.0972509,OA
863,WAHIAWA DAM 863,21.49682981,-158.0494733,OA
862,Kemoo Camp,21.52182884,-158.0555839,OA
861,Opaeula 17,21.5768259,-158.0589159,OA
860.4,Field 4447-48,21.54210567,-158.0747499,OA
860.3,Brodie 2 Fld 84,21.5384944,-158.0455837,OA
860.2,Brodie 4 Fld 75A,21.54682731,-158.0472503,OA
860.1,Brodie 4 Fld 83,21.54682748,-158.0639167,OA
860,Brodie 4,21.54682743,-158.0589167,OA
859,Field 201,21.51016299,-158.0589175,OA
858,SCHOFIELD BARRACKS,21.495,-158.0819444,OA
857.4,SCHOFIELD FIREBREAK,21.50861111,-158.1147222,OA
857.2,Field 5  McCart,21.51460847,-158.086417,OA
857.1,Maili Point,21.51016587,-158.1039169,OA
857,Field 208,21.5234958,-158.073917,OA
